Date,returns,pce_price_index,unemployment_rate,nonfarm_payrolls,industrial_production,capacity_utilization,housing_starts,building_permits,retail_sales,durable_orders,consumer_confidence,fed_funds,epu_index,t10y2y_spread,t10y3m_spread,hy_ccc_spread,corp_bond_spread
2022-01-03,0.6976187785301363,1.7845114787584477,-1.450661589133,1.5765681271143197,1.9375040881395114,2.0104782214113395,2.1595105315512884,1.697862730265682,1.8328134934619889,1.8854804887261543,-1.2530144584643448,-0.5439463271444548,-0.4678187403127366,-1.7739432755444566,0.08012631835989426,1.9436872270604137,2.377818409503917
2022-01-04,-0.178060801673668,1.758959225639659,-1.4274708026465783,1.5602725226405019,1.8959164880375061,1.9722973751811386,2.10240335744814,1.668411552638253,1.7931066025095768,1.8678960001791354,-1.233118261788442,-0.5810578017601031,-0.4920711411197199,-1.7754183576928548,0.09375085014407107,1.8985634643010336,2.3086279490732307
2022-01-05,-2.475461863098037,1.7348024104159647,-1.4050132639622315,1.5451829993493227,1.8563006188498925,1.9361223617202852,2.048603250324323,1.6399769883513233,1.755137460789119,1.8523262225162935,-1.2136946754147717,-0.6216937132566401,-0.5176797153255283,-1.7805529725756934,0.10771712501015246,1.8556204868297796,2.244048169178292
2022-01-06,-0.1945082560498775,1.7120037431434139,-1.3832549687823907,1.5313326300197743,1.818501062645672,1.9018204734200843,1.9977812427818793,1.6124958736539825,1.7187704580496792,1.8388445006814755,-1.194721702762888,-0.6665702650258635,-0.5448106645264978,-1.789942184078776,0.12205106297256821,1.8146726563561613,2.183562800163433
2022-01-07,-0.5694413505390714,1.6810643922027666,-1.3637702931048945,1.507569920712743,1.7789326575063122,1.8596661958260952,1.9619499402560003,1.5814373200664318,1.6858271727548058,1.8002667926156795,-1.1786157122086687,-0.6665702650258617,-0.5383583625792409,-1.7527308123978043,0.1234578355124914,1.7850355618128042,2.1281820319372495
2022-01-10,-0.24834866390690896,2.403267095040172,-1.863694719756526,1.989773128637802,1.6381626300064318,1.8182908243227862,2.2787972173726643,4.489952902210888,1.033338581523733,3.9557488150747817,-0.6583901846819009,-0.6665702650258617,0.1358212440939468,-2.771876624546315,0.8088661052041523,0.5694106432865718,-0.9751088623855936
2022-01-11,1.053758559557716,2.338997438639838,-1.831626883165706,1.9509995490829632,1.6059117542634072,1.7799317432762205,2.2258619350876803,4.142231816740396,1.0208734151221142,3.7104839520063573,-0.6461483858822723,-0.6665702650258617,0.13639604343476572,-2.6728321698323705,0.8029550685467527,0.5571883567238543,-0.9770154744352607
2022-01-12,0.2649351858637629,2.278966958169206,-1.8011196568062326,1.9141970709226614,1.5748357222310791,1.74322230518937,2.1757728999043353,3.860434373060987,1.008595830766015,3.502898476425253,-0.6339558150374478,-0.6665702650258635,0.1369709980260134,-2.582307162719484,0.7970878004040118,0.5449521698503592,-0.9789276660776769
2022-01-13,-1.81933375232365,2.2227311022784484,-1.7720887679057638,1.8792291429881747,1.54485461939573,1.7080373914309324,2.1282713478193953,3.625829904295895,0.9964994865999273,3.3241049389161703,-0.6218064243525756,-0.6665702650258635,0.13754610848608376,-2.4991090342635376,0.791263515203427,0.5326930049024188,-0.9808454699825592
2022-01-14,0.008395101969572757,2.169910170091317,-1.7444608892989861,1.8459756584268245,1.5158958077372489,1.6742648580116104,2.0831303758605526,3.426389387684907,0.9845783154749878,3.1679032179403075,-0.6096941641640824,-0.6665702650258635,0.13812137543417966,-2.422267391274951,0.7854814452441836,0.5204012642204955,-0.9827689190863688
2022-01-18,-2.3274903323226255,2.1201778267541336,-1.718172713030374,1.8143309849121398,1.487893086770993,1.6418038607061962,2.0401500606117966,3.2539862150215098,0.9728265092865703,3.0298180740381695,-0.5976129778414828,-0.6665702650258635,0.13869679949031297,-2.350983446710254,0.7797408401557407,0.5080667454766511,-0.9846980465951434
2022-01-19,-1.234249867277058,2.0732520368806204,-1.6931702234608805,1.784202342044757,1.460785969710739,1.6105634385515621,1.9991534614210706,3.102905283826678,0.9612385043791127,2.9065271309050265,-0.5855568002556764,-0.6665702650258635,0.139272381275317,-2.284592851630203,0.7740409663761263,0.49567854286501517,-0.9866328859873543
2022-01-20,-1.376978252665297,2.0288878395921106,-1.6694081503333755,1.7555084687316962,1.434519056507419,1.5804613100178095,1.9599833247682765,2.968994102880332,0.9498089679330511,2.795504905427342,-0.5735195611970254,-0.6665702650258635,0.13984812141084124,-2.2225379230956217,0.7683811066491026,0.48322493106310266,-0.9885734710168131
2022-01-21,-2.2756175251652366,1.9868715423122891,-1.6468495891291621,1.728178536357706,1.4090414887747311,1.5514228452544772,1.9224993488523487,2.8491528017548564,0.9385327852560081,2.6947926170619736,-0.561495195703272,-0.6665702650258635,0.14042402051935893,-2.164346583444426,0.7627605595393929,0.4706932279031103,-0.9905198357156167
2022-01-24,0.3317181269293266,1.9470160192973154,-1.6254657824128718,1.7021512739614453,1.3843064742271824,1.523380184916227,1.8865758991741457,2.7410139147594426,0.9274050479076728,2.602844407457506,-0.5494776640860461,-0.6665702650258635,0.1410000792241732,-2.1096161743945627,0.7571786389651938,0.45806963053797806,-0.9924720143971171
2022-01-25,-1.4474873665006527,1.909156879123614,-1.6052360621224437,1.6773742801379066,1.3602708703638644,1.4962714816571654,1.852100089754311,2.6427337445876438,0.9164210425939743,2.5184216918468514,-0.5374609856483423,-0.6665702650258635,0.14157629814941844,-2.058000866054877,0.7516346737472723,0.4453390183365635,-0.9944300416589451
