Date,returns,pce_price_index,unemployment_rate,nonfarm_payrolls,industrial_production,capacity_utilization,housing_starts,building_permits,retail_sales,durable_orders,consumer_confidence,fed_funds,epu_index,t10y2y_spread,t10y3m_spread
1998-08-11,-1.5048906899501255,2.971460628044691,-0.10727978097746702,1.7535477717810106,-0.6287833341319441,-2.7327328948972784,3.071482317719253,0.8277321316757997,0.9208666035368279,-2.004430715889372,-1.3058673142522377,0.7842637105927777,-0.09991380088635261,-0.7463744624778716,-0.36153200892641635
1998-08-12,1.517217394413538,2.8500650331787694,-0.10148394692153243,1.720834174359637,-0.6358343812805669,-2.6450164374901264,2.9443917896812306,0.815344370906911,0.9062498984739797,-1.9718658995203544,-1.2918421078799365,0.791709081478634,-0.08261653910513571,-0.7346050656251972,-0.3658005464663386
1998-08-13,-0.9924930104091546,2.740629756443895,-0.09567297464666842,1.68946595793324,-0.6429672284732693,-2.5643820212331088,2.8302030429756893,0.8030909482081399,0.8918203572907606,-1.9404886931657126,-1.2780730929328983,0.7992466429445502,-0.06460356578764474,-0.7229952810143745,-0.37009291907359004
1998-08-14,-1.2789995480586196,2.641252455723412,-0.08984613547258562,1.6593566584232295,-0.6501839973444116,-2.489922102595898,2.726820161040255,0.7909662947605468,0.8775689414121286,-1.9102242449758506,-1.2645512951186428,0.8068787739303758,-0.045776931337219315,-0.7115487930378053,-0.37440953128478305
1998-08-17,2.0649527034267736,2.5504298968934527,-0.08400268812874816,1.6304285516270376,-0.6574868856602395,-2.4208869038753575,2.6325963721935954,0.7789650252974419,0.8634869306366887,-1.881004163527709,-1.2512681698334889,0.8146079395542121,-0.026019206780246266,-0.7002710861476507,-0.378750795966961
1998-08-18,1.6681657856226204,2.4669562570152057,-0.07814187816715766,1.6026116864211484,-0.6648781709179378,-2.356651019410812,2.5462173479376107,0.7670819260496424,0.8495658962536835,-1.8527658166045704,-1.2382155758747884,0.8224366952056286,-0.005188007820676301,-0.689169824878615,-0.3831171345537761
1998-08-19,-0.36502625275779504,2.3898514198728957,-0.07226293735274726,1.5758430629340454,-0.6723602141564072,-2.296688304827091,2.466619562536082,0.7553119433485042,0.8357976755323542,-1.8254517208919425,-1.2253857510943311,0.8303676908800947,0.016891512853929796,-0.6782553452819194,-0.3875089772897935
1998-08-20,-0.6786629067401504,2.3183093387062788,-0.0663650830301068,1.5500659334707554,-0.6799354639915834,-2.240552728695619,2.3929319061150096,0.7436501728282884,0.8221743474004691,-1.7990090089722686,-1.2127712898253595,0.8384036757704968,0.040437168377952463,-0.6675412958645986,-0.39192676348327055
1998-08-21,-1.0484855506999569,2.2516601480528196,-0.060447517465184085,1.5252292082777448,-0.6876064608932912,-2.1878635858791036,2.3244331069224353,0.7320918491737608,0.8086882091387428,-1.7733889623026382,-1.2003651219324514,0.8465475031350984,0.06572477063444057,-0.6570454817941171,-0.3963709417677551
1998-08-24,0.6288210402559801,2.189341896379696,-0.05450942716052721,1.5012869517231056,-0.6953758417213628,-2.138293948717822,2.260520139861533,0.7206323363629404,0.7953317539258665,-1.7485466007293577,-1.1881604933480936,0.854802135461353,0.09311021908334943,-0.646790989412235,-0.40084197037287655
