Date,returns,pce_price_index,unemployment_rate,nonfarm_payrolls,industrial_production,capacity_utilization,housing_starts,building_permits,retail_sales,durable_orders,consumer_confidence,fed_funds,epu_index,t10y2y_spread,t10y3m_spread,hy_ccc_spread,corp_bond_spread
2008-01-02,-1.446446214348282,1.874250223444169,1.1829346738328204,1.3672975079633825,1.299647648566866,1.3671272946028685,-1.5586697877394098,-1.4098236500421735,2.1695533242328775,-0.47604267524710964,-2.191833060498071,-2.786956862825279,0.18691182574566698,2.3694952873271844,1.622978857354633,2.4297927955499605,2.2267895880548547
2008-01-03,-0.013460618591227113,1.8608515158993044,1.1735625637865097,1.364400716108703,1.2995443288730908,1.368290626499093,-1.5451361204520264,-1.3973663031885872,2.1510718702293645,-0.4789762676130206,-2.1629877548491625,-2.733836650918687,0.1916537264597056,2.336113879981039,1.608728406072562,2.392748162339604,2.196271211717195
2008-01-04,-2.4125714969063328,1.8478643296875497,1.164290276292465,1.3619096001035147,1.3000127757474331,1.3701536986005174,-1.5318394431806988,-1.3850891718182263,2.133219619783265,-0.4819229153970432,-2.135015150054566,-2.6832063664972465,0.196429320186769,2.303869072584462,1.5947459379019724,2.3570405136763166,2.1667074028304176
2008-01-07,0.30958036739683065,1.8352826750525288,1.1551153972964887,1.359847316767659,1.30110003440488,1.37277842635999,-1.5187729096644806,-1.3729869720977097,2.1159796367337385,-0.4848827648720125,-2.1078697719837907,-2.6348702251611296,0.20123934529957113,2.2726958305702767,1.58102353046976,2.3225873402230515,2.1380463330651107
2008-01-08,-1.7894181993520384,1.823101388256719,1.146035585853493,1.3582398592586462,1.3028597587889796,1.37623586783015,-1.5059299901774068,-1.3610546252763023,2.099336569967773,-0.4878559644757727,-2.0815094172767803,-2.5886533831853864,0.20608456053599045,2.242534278142728,1.567553650268373,2.2893131028955347,2.1102400334708062
2008-01-09,1.320268254076951,1.8113161260902244,1.1370485711415228,1.3571164526123,1.3053533768862091,1.3806079379479885,-1.4933044555546988,-1.3492872473226871,2.083276585150404,-0.490842664853752,-2.0558948570108826,-2.544399139267548,0.21096574576283655,2.213329185323084,1.554329132471219,2.2571484922529406,2.0832440318102683
2008-01-10,0.7652589089135949,2.0505111105815503,3.579567153185073,1.6949786557483655,1.3797158647671046,1.7160418520240257,-2.673029639759993,-1.8189209738744334,1.1223031468685667,3.740222270461965,-2.1423694846776007,-3.480836165955745,1.7438360677723348,2.3658270771140004,1.2457952390724083,2.44944433152643,2.072961621287564
2008-01-11,-1.3157559767084521,2.030703517446721,3.486117109067334,1.6857411066495398,1.3701441855032797,1.6982544452003887,-2.6376665877728738,-1.801195004566188,1.1135163210404038,3.6266770698933066,-2.1147883423516483,-3.3868633226554166,1.7584877469627334,2.331759499195844,1.2354917237573388,2.4105197790949604,2.046553745259102
2008-01-14,1.0497411275844575,2.0114466012588035,3.3990775579508945,1.6768541524821734,1.3607428628565805,1.6808268677492946,-2.603713639315747,-1.7838633117522518,1.1048165787682653,3.5220403134220515,-2.0880121429484335,-3.299398515826451,1.7734310399436253,2.2988604801829973,1.2253086311981172,2.3730549015380973,2.020884907894735
2008-01-15,-2.374193189822903,1.9927208051272094,3.317737747796019,1.6683200052018372,1.3515098930634357,1.6637456141772096,-2.571091309602137,-1.7669118779051107,1.0962019488562975,3.4251832413259176,-2.062000162566772,-3.217707217340104,1.7886763007402098,2.267061971493469,1.215242836500297,2.336956057972882,1.9959186404017395
2008-01-16,-0.5259143443862486,1.9745078805703142,3.241492944159438,1.660141745653914,1.3424434805073726,1.6469978702805388,-2.539727035152508,-1.7503274533529727,1.08767051930947,3.335168022717735,-2.0367145188424147,-3.1411661741111554,1.8042344081466648,2.2363013860620535,1.205291316928168,2.3021378189623123,1.9716209419496673
2008-01-17,-2.71887002014208,1.9567908033415178,3.1698249202865467,1.652323372005742,1.333542038496797,1.630571467974856,-2.509554470470602,-1.7340975074865908,1.0792204352224846,3.251208114017026,-2.0121199208975895,-3.069242614318265,1.8201168005021124,2.2065210475991592,1.195451147410171,2.26852206156799,1.9479600683398335
2008-01-18,-0.5456546831982938,1.9395536975516225,3.1022866649654444,1.6448698563008763,1.3248041908797812,1.614454843679947,-2.4805128741393334,-1.7182101839821633,1.0708498967781876,3.172638237254953,-1.9881834457145513,-3.0014780154789737,1.8363355133283266,2.177667706348864,1.1857194962776145,2.236037183463608,1.924906342395609
2008-01-22,-1.0160813381174083,1.9227817673183456,3.0384902710654527,1.6377872101407696,1.3162287745344645,1.5986369999337298,-2.4525465715673582,-1.7026542596757916,1.0625571573503505,3.0988913352407566,-1.9648743376948825,-2.9374752966789908,1.852903220111899,2.1496921120598795,1.1760936212222872,2.20461741802165,1.9024319834820704
2008-01-23,2.0170837535737927,1.9064612352711263,2.9780972512352277,1.6310825606774242,1.307814842779997,1.5831074699430139,-2.4256044837143076,-1.6874191067642772,1.0543405217064241,3.0294806646265844,-1.942163828615989,-2.8768886126016486,1.869833276546285,2.1225486363485313,1.1665708654595512,2.174202235384629,1.880510953913939
2008-01-24,0.9553751602202217,1.890579287326763,2.9208107260040426,1.6247642383262695,1.2995616697626091,1.5678562848088262,-2.3996397128422515,-1.672494658041751,1.0461983443057843,2.963985725490986,-1.9200249755763459,-2.8194151468062385,1.8871397685862716,2.096194937841536,1.157148654084443,2.1447358170427955,1.8591188203084386
2008-01-25,-1.4559008027050042,1.8751240232267425,2.8663690708881115,1.6188418778642735,1.291468755882025,1.552873943190686,-2.3746091777579843,-1.6578713749124225,1.0381290276898085,2.9020410921994637,-1.8984325148434928,-2.7647884572063153,1.9048375647095137,2.0705916644876035,1.1478244906091615,2.1161665934845284,1.8382326281933148
2008-01-28,1.6352637223284312,1.860084412396376,2.8145407109755554,1.613326534899564,1.283535834333426,1.538151383198184,-2.350473292184471,-1.6435402179469938,1.0301310209600938,2.843327463898447,-1.8773627297932223,-2.712773038226849,1.9229423728277104,2.045702188259674,1.1385959536711163,2.088446836158463,1.8178307883970262
2008-01-29,0.5791492539399409,1.845450254745924,2.76511982578713,1.6082308200724449,1.2757628788530495,1.5236799563183818,-2.3271956808764322,-1.6294926197745938,1.0222028183418335,2.787564431373105,-1.8567933313624925,-2.663159845124638,1.9414708023446128,2.021492368165031,1.1294606939014302,2.061532296361496,1.7978929739338492
2008-01-30,-0.4265205160184799,1.8312121460899182,2.717922782053904,1.6035690538152785,1.2681501127699824,1.5094514032070157,-2.304742928912078,-1.6157204601237554,1.014342957829191,2.7345045842492337,-1.8367033496391325,-2.615762585485454,1.9604404319204423,1.9979303380634093,1.120416430944474,2.035381884802351,1.7784000262563127
2008-01-31,1.553982633165679,1.8173614479109637,2.6727851529537965,1.59935744505444,1.2606980194823114,1.4954578311880895,-2.2830843602796493,-1.6022160428453163,1.006550019910316,2.6839286744893136,-1.8170730353834295,-2.570414627135637,1.9798698835737256,1.9749863162835457,1.111460950619627,2.009957386531916,1.7593338698849126
2008-02-01,1.1316992656061813,1.8038902612408525,2.6295592131544168,1.5956142979333001,1.2534073544936344,1.481691693320466,-2.2621918424578245,-1.588972074767545,0.9988226263695573,2.6356416194103875,-1.7978837704247739,-2.5269664048946208,1.9997789038334697,1.9526324344425536,1.1025921022170357,1.9852232067155688,1.7406774345439295
2008-02-04,-0.9475869678505328,1.7907914044756656,2.588111822424793,1.5923602514777695,1.2462791591679359,1.4681457689040978,-2.242039614182356,-1.5759816462493987,0.9911594391651134,2.589469177220296,-1.779117986004397,-2.485283233738248,2.02018845274881,1.9308425832230134,1.093807795919673,1.9611461433779607,1.7224145840350795
2008-02-05,-2.8630528982206607,1.7780583949819626,2.5483226285326266,1.5896185581848192,1.2393147763841947,1.4548131453100541,-2.2226041340131526,-1.5632382133119622,0.9835591593801577,2.5452551652703326,-1.7607590882457071,-2.4452434551603126,2.0411208016718145,1.909592273160583,1.0851060003444999,1.9376951838004177,1.704530051170092
2008-02-06,-0.6612564830142798,1.7656854343917119,2.5100825340208752,1.5874154088188017,1.232515868299091,1.4416872010291097,-2.2038639476794777,-1.550735581240913,0.9760205262462656,2.5028591193018164,-1.7427913900297136,-2.4067368583304596,2.0625996408545624,1.8888585087487402,1.0764847401959794,1.9148413217140425,1.6870093781610616
2008-02-07,0.7333655891098722,1.7536673975213115,2.47329238226605,1.5857803123507874,1.225884436460225,1.4287615898435255,-2.185799572496377,-1.538467889564503,0.9685423162378777,2.462154313351301,-1.725200048636323,-2.36966332915039,2.084650198046848,1.8686196743843029,1.0679420940256255,1.8925573928225632,1.669838861935228
2008-02-08,-0.3538483033425493,1.7419998248889563,2.437861826700509,1.584746542042558,1.2194228445481183,1.4160302260344202,-2.1683933974220033,-1.5264295983221776,0.9611233422372158,2.423026076408385,-1.7079710085849338,-2.3339316893112083,2.107299369449525,1.8488554308633867,1.0594761920916607,1.8708179265204763,1.653005503900113
2008-02-11,0.5500007969160472,2.0074874700932583,2.4037083537776556,1.5691140051529275,1.0213983156224458,1.215623920368413,-1.8239666623543533,-1.8563438022227352,1.137671564043853,1.546787383885113,-1.2021447081580507,-3.15492455538681,5.000942928203233,3.170628488724075,3.1363284713956836,2.9838261124725256,2.6192917518665486
2008-02-12,0.6696875848815095,1.988101203065712,2.3669116554958114,1.5597133763347109,1.018928623772208,1.212760131671889,-1.8038456864197163,-1.8388037898041076,1.1295512624383373,1.5332260720243789,-1.195389934106306,-3.082595170046508,4.776774759310289,3.100767228725278,3.0667354113079557,2.9217933563303093,2.574833179421306
2008-02-13,1.2351089718235428,1.9692330479939688,2.3314384499921745,1.5505815842475432,1.0167706603559694,1.2102391515539632,-1.7841767237073605,-1.8216733185786993,1.1215285778761037,1.5198976243655067,-1.188788432523306,-3.014462239676663,4.578996357405963,3.03485950381176,3.001070913394415,2.8629985251937815,2.5322134433150465
2008-02-14,-1.1812035195022745,1.9508646345296536,2.2972071229947866,1.5417186352169754,1.0149479956883438,1.2080820398644347,-1.7649412835148495,-1.8049384706605935,1.113602274619091,1.5067951926532759,-1.182342238276654,-2.9501241010783916,4.402759383702803,2.9725380910275363,2.93896952161009,2.807161072981425,2.4913043230332685
2008-02-15,0.0965375973310372,1.9329787777749927,2.264142947169641,1.5331250585758296,1.013487298021181,1.2063124298787629,-1.7461219099480878,-1.7885861303085868,1.1057712055294646,1.4939122376428706,-1.176053727728795,-2.889231047351585,4.24437868848646,2.91348198353166,2.880111800152111,2.754033431657718,2.4519898176529695
2008-02-19,-0.05882842106819564,1.9155594022276088,2.2321773510705922,1.5248019273439384,1.0124188362615003,1.2049568979579377,-1.7277021082294897,-1.7726039349926768,1.0980343125294927,1.4812425131894162,-1.1699256439056256,-2.831476985960135,4.100996339425049,2.8574091672132624,2.824217134666497,2.703396183704114,2.4141646865840825
2008-02-20,0.76611826875281,1.8985914729722584,2.2012472808154366,1.516750882663993,1.0117770857796622,1.2040454010636155,-1.7096662773226445,-1.7569802306698048,1.0903906273550736,1.4687800514390688,-1.163961124881995,-2.7765926781886905,3.9703571380510057,2.8040707316253184,2.771037864250713,2.6550540715713504,2.3777331979540257
2008-02-21,-1.125385768162271,1.8820609334488774,2.1712946408961002,1.508974162372047,1.0116014630361403,1.2036117971793174,-1.6919996482429187,-1.741704030899705,1.0828392726178655,1.4565191490408147,-1.1581637358098238,-2.7243402174034017,3.850654380416956,2.753246033338556,2.7203544628821255,2.6088326778062467,2.3426080505863216
2008-02-22,0.7233187355806363,1.8659546492100674,2.1422658027791517,1.5014746341505811,1.01193722242853,1.2036944676664265,-1.6746882274949322,-1.7267649794730855,1.0753794631934979,1.4444543543054151,-1.1525375050843278,-2.67450848641763,3.7404212779756256,2.7047386963845668,2.6719715553947894,2.5645756465511975,2.3087094418094742
2008-02-25,1.2426621713971626,1.850260357152957,2.1141111717895695,1.4942558337849767,1.0128365591303778,1.2043370657932917,-1.6577187451404387,-1.7121533162610318,1.0680105079561222,1.4325804552448156,-1.1470869652264124,-2.6269093951310136,3.638452876617262,2.6583732837512093,2.6257146023526987,2.522142345055451,2.2759642583340955
2008-02-26,0.6261039333183019,1.8349666197754164,2.0867848042767676,1.4873220091374135,1.0143599758567772,1.2055894225586195,-1.6410786070547245,-1.6978598460271566,1.0607318118826488,1.4208924684312447,-1.1418171991575339,-2.581374744797281,3.543748839682166,2.613992510775596,2.5814271249899146,2.4814058851259686,2.244305371440541
2008-02-27,-0.08390830083394234,1.8200627840639128,2.0602440683034193,1.480678170557966,1.0165779910684476,1.2075086501097896,-1.6247558509776898,-1.6838759099731686,1.0535428785534646,1.4093856286208537,-1.1367338926605393,-2.5377535991655216,3.4554708101430194,2.5714548991429185,2.538968369199631,2.4422514408043843,2.2136710209434582
2008-02-28,-0.8048120405793038,1.805538944671109,2.0344493421252574,1.474330148574319,1.0195732935371935,1.2101604954216247,-1.6087391060078324,-1.670193359814665,1.046443313080301,1.3980553790917563,-1.1318433939605543,-2.4959100683981323,3.37291015514555,2.5306327914395976,2.4982113287508483,2.4045748112274583,2.1840042750097077
2008-02-29,-2.4105892119685244,1.7913859110878732,2.009363745583697,1.4682846598526187,1.0234434871041993,1.21362101374289,-1.5930175552245442,-1.6568045342075102,1.0394328254962448,1.3868973626509313,-1.1271527815289164,-2.45572143126883,3.295463231161569,2.4914106625382675,2.459041064203754,2.3682811875168146,2.1552525550298998
2008-03-03,0.0568538456824994,1.7775951785568433,1.984952900246083,1.462549382598268,1.0283046255364152,1.2179786545117937,-1.5775809011567588,-1.6437022373664503,1.0325112346478154,1.3759074132686786,-1.122669941417363,-2.4170765362416757,3.2226121812724817,2.453683676745708,2.4213532666177935,2.333284090315416,2.1273672164805286
2008-03-04,-0.3025635339930627,1.7641589025115245,1.9611847147248818,1.4571330427729927,1.0342958195312528,1.2233368848088984,-1.5624193338450179,-1.6308797197370681,1.025678472634561,1.3650815483031784,-1.1184036556773593,-2.379874433752636,3.1539098591305215,2.4173564495238105,2.385053024999749,2.2995044507371665,2.1003031781403974
2008-03-05,0.48242549397498957,1.7510698763627262,1.9380291921089627,1.45204551276197,1.041585320452414,1.2298175211773128,-1.5475235012695103,-1.6183306605999206,1.018934589847957,1.3544159612813031,-1.1143637037212277,-2.3440232011815763,3.0889678707022057,2.382341980360997,2.350053764185056,2.266869812391949,2.0740185932024806
2008-03-06,-1.9504932461296547,1.7383215124853604,1.9154582568634373,1.447297924427265,1.0503786718109338,1.2375650063174755,-1.5328844819394545,-1.606049152502154,1.0122797606685618,1.3439070152051193,-1.1105609788513753,-2.309438929221364,3.02744699922906,2.3485607295193605,2.3162763259755406,2.235313636070001,2.0484745567981077
2008-03-07,-0.7287357750625792,1.7259078262917094,1.8934455989124517,1.442902798857949,1.060929809465818,1.2467519629447734,-1.5184937594592651,-1.594029687427158,1.005714289888622,1.3335512363566038,-1.107007622638485,-2.2760448440730956,2.9690494715798126,2.3159398162794718,2.2836481712385064,2.204774691828551,2.0236348452623436
2008-03-10,-1.348505113612633,1.930829884686593,1.3462245348887847,1.168269211326778,0.25894047644476287,0.009998079788310724,-1.3824214967068866,-2.070300868383412,0.19909158669822874,0.5964544348583507,-2.5579877238829587,-4.318058898503854,1.402637918944735,3.075052885870035,2.204245623345671,2.4930046407847235,2.462147711590201
2008-03-11,3.2526409134740133,1.9124170400833327,1.3346526417179059,1.1625660046900346,0.25183462485315167,0.007291214121300908,-1.370667800501357,-2.0484878802717787,0.19269675728225716,0.5903532318555278,-2.5199024245928148,-4.152587916103368,1.3906328522757847,3.010439871957065,2.1787326724408573,2.453595400036946,2.423824444564191
2008-03-12,-0.7758876454317548,1.8944647342084837,1.3232354356874227,1.1570393992691343,0.24464665699059263,0.004579479464990716,-1.359079520424913,-2.027270965120579,0.18624620352464433,0.5842545596309736,-2.4832638844182466,-4.00364868538151,1.3787979862636195,2.949295711136647,2.153981541709504,2.4156815476461766,2.3869258961142426
