Date,returns,pce_price_index,unemployment_rate,nonfarm_payrolls,industrial_production,capacity_utilization,housing_starts,building_permits,retail_sales,durable_orders,consumer_confidence,fed_funds,epu_index,t10y2y_spread,t10y3m_spread,hy_ccc_spread,corp_bond_spread
2014-11-25,-0.21935688222181401,-0.5970973721988274,-1.6086487237219813,1.4889613201604808,0.9795828623564068,0.0641190771728762,1.2147791517451676,1.3723464281257953,1.049910881021359,-0.49651023728226695,1.67065373195072,0.0,1.6523581228018587,-0.9829362747918975,-0.7721599630392663,1.3926731722089751,0.194458921285811
2014-11-26,0.2811285787093555,-0.5879916326843335,-1.5543919020966035,1.444610130375825,0.9545915946363784,0.08556720297491985,1.2268317123734849,1.3379193855244003,1.0305147655717664,-0.4731843278208928,1.6098386201006567,0.0,1.62476576696494,-0.9631524925296956,-0.7463310181616815,1.3448565513645536,0.1896395680075935
2014-11-28,-0.3958487984649939,-0.5789710054965503,-1.5039560249687298,1.4033390252143598,0.9302994186975668,0.10772517180973128,1.2391081665678048,1.3049631620999516,1.0139996079445865,-0.45009674295164753,1.5534129433723547,0.0,1.5981265078780258,-0.9458064358354132,-0.720897553945533,1.2995798865071981,0.1848263539325259
2014-12-01,-0.9287767151706988,-0.570032842063637,-1.4569573991884517,1.3649501423639439,0.9066588381426026,0.13067513439799724,1.2516163960755673,1.2733597058821167,1.0009931612571907,-0.42750812330941457,1.5008618244987018,0.0,1.5723821978382335,-0.9314257166584589,-0.6958083902208102,1.2565725301977961,0.1800189432358752
2014-12-02,0.7438181990652766,-0.5611745787266859,-1.4130835473605428,1.3293022674514843,0.8836261974962847,0.15451149899172567,1.264364678067703,1.243003664578917,0.9924764635012819,-0.4060332987096102,1.4517599713864557,0.0,1.5474795493927844,-0.9208352051895121,-0.6710135956717034,1.215600356810885,0.17521700161673998
2014-12-03,0.3991313713841345,-0.5523937326891216,-1.372082734939336,1.2963102364783472,0.8611612621805974,0.17934352277596302,1.2773617111306665,1.213800668076064,0.9900333444978026,-0.38723529711053667,1.4057547058094266,0.0,1.5233696236805079,-0.9153658022418986,-0.6464640312315421,1.1764594510055912,0.17042019618137538
2014-12-04,-0.21589053952764942,-0.5436878981545673,-1.33375681542542,1.2659480301467683,0.8392268515366866,0.20529860568692845,1.2906166433812394,1.1856658866862737,0.9963561492651815,-0.37586482807886223,1.3625533235676544,0.0,1.5000073831756395,-0.9172753270444767,-0.6221109356236086,1.1389710614709965,0.16562819532747464
2014-12-05,0.1353500422016705,-0.535054742698079,-1.2979569252099559,1.238256455982377,0.8177885169995274,0.23252652487716893,1.3041391029123932,1.1585228142530186,1.016383448683423,-0.39345544128823956,1.3219137231809117,0.0,1.4773512994618998,-0.9306881383345167,-0.5979055762745265,1.10297752774521,0.16084066862931584
2014-12-08,-1.0016521302088288,-0.5264920038040938,-1.2645818666665527,1.2133571412641826,0.7968142588404522,0.26120494669552785,1.3179392308023063,1.132302235757638,1.0602608966145322,-1.4615992244150433,1.2836375953758932,0.0,1.4553630082046625,-0.9640123081268926,-0.5737990172195434,1.068338962700747,0.15605728672370034
2014-12-09,-0.09843631364085498,-0.5337288345623465,-1.2247448713915774,1.175825122194414,0.7705039081237043,0.2397648071142882,1.2754045822037532,1.097913908269015,1.0402584728637305,-1.4098944745890853,1.2428736987201952,0.0,1.4041357178301226,-0.9502552681394979,-0.5793241220216542,1.0360464931354383,0.13545709229571992
2014-12-10,-2.0485693812337677,-5.096451007849148,-0.5887448094094578,2.3867416548134166,4.205810416060355,5.018798588450424,-0.7178227110635639,-0.7203720650116276,2.546602817422471,-3.7310814205991094,2.1823954057919672,0.0,-0.54489488412041,-3.919707441504369,-2.6363479435393744,2.1971607223496687,1.3119343085115753
2014-12-11,0.5082223380725838,-4.244488678166905,-0.5652159114432928,2.260671298650673,3.689121096021885,4.204660870959188,-0.7303505282972229,-0.7378921093648237,2.3928144619994263,-3.3320630056346827,2.078186363345223,0.0,-0.5517486098167355,-3.470059121463587,-2.4847253674314596,2.0954452195346365,1.2715765507522343
2014-12-12,-1.963530056867333,-3.6993855258867936,-0.5417363388859611,2.1499673618676955,3.316531598909918,3.6772267875365365,-0.7431373590303538,-0.7559428375577038,2.259773195225275,-3.030031179079138,1.9851204543092111,0.0,-0.5586709550442359,-3.137051181286197,-2.353072008085492,2.0047056706909396,1.233300368959416
2014-12-15,-0.7561336065055569,-3.3110231584487733,-0.5182541467222382,2.0517122638544447,3.030870396999789,3.298816806490834,-0.7561948276175784,-0.7745587053299015,2.143011815244012,-2.790537701327612,1.9013115449021183,0.0,-0.565663644189637,-2.8769433969953044,-2.2372082185985516,1.923139951021726,1.196939442471675
2014-12-16,-0.9873488784355996,-3.015437819069849,-0.4947139312824791,1.963729568414127,2.8024431157340737,3.0095558588444753,-0.7695352913374718,-0.7937773595644232,2.039305092482685,-2.594165267655618,1.8253066184238498,0.0,-0.5727284589380977,-2.6660039818062917,-2.134087156866487,1.849362120987839,1.162354871783937
2014-12-17,2.3166764690816946,-2.78014350519396,-0.47105571976598987,1.884361657482046,2.6140902197008686,2.7786492065449595,-0.7831719016029394,-0.8136400325273448,1.9462577625043467,-2.429021464395049,1.7559683390948153,0.0,-0.5798672408179899,-2.490090428059964,-2.0414278585525083,1.7822922972490247,1.1294327667277488
