period,breach_rate,coverage_error,cvar,rmse,mae,pinball,brier,kupiec_LR,kupiec_p,christoffersen_ind_LR,christoffersen_ind_p,christoffersen_cc_LR,christoffersen_cc_p
1987,0.0,-0.05,,0.2604316473007202,0.2595570385456085,0.012977851554751396,0.002500000000000001,25.95440690950059,3.4957650949621474e-07,-0.0,1.0,25.85182037132549,2.434156700453849e-06
1998,0.0,-0.05,,4.525822639465332,4.5256781578063965,0.22628392279148102,0.002500000000000001,25.851820320925487,3.686568671972143e-07,-0.0,1.0,25.74923378255039,2.562270211004052e-06
2001,0.0,-0.05,,0.07905098795890808,0.07766871154308319,0.003883435856550932,0.0025000000000000014,25.441473966625082,4.560084953475983e-07,-0.0,1.0,25.338887427449986,3.145795641229335e-06
2008,0.007905138339920948,-0.04209486166007906,-0.08982251584529877,0.0970536321401596,0.08732575178146362,0.004387763794511557,0.009614624505928853,14.38704574703643,0.00014882260586504792,0.03200034094205415,0.8580269087047524,14.332364176538972,0.0007722655516468489
2011,0.0,-0.05,,0.29447290301322937,0.29363003373146057,0.014681501314043999,0.002500000000000001,25.851820320925487,3.686568671972143e-07,-0.0,1.0,25.74923378255039,2.562270211004052e-06
2015,0.0,-0.05,,0.2422705441713333,0.23741167783737183,0.011870584450662136,0.002500000000000001,25.851820320925487,3.686568671972143e-07,-0.0,1.0,25.74923378255039,2.562270211004052e-06
2020,0.011857707509881422,-0.03814229249011858,-0.09697431325912476,0.0913543552160263,0.08881229162216187,0.0046869986690580845,0.013171936758893273,11.04809220210585,0.0008877850678828507,0.07229090503102255,0.7880299696261557,11.041701217030882,0.004002441982493794
2022,0.0,-0.05,,0.07501673698425293,0.07334189862012863,0.0036670954432338476,0.0025000000000000005,25.749233732350387,3.887813449885393e-07,-0.0,1.0,25.64664719377529,2.697126537899001e-06
