Date,returns,pce_price_index,unemployment_rate,nonfarm_payrolls,industrial_production,capacity_utilization,housing_starts,building_permits,consumer_confidence,fed_funds,epu_index,t10y2y_spread,t10y3m_spread
1986-10-21,-0.02400439832884308,2.0383626370221446,-0.7391714061178641,2.373352555275454,1.678208613782839,0.09025541016619432,-2.43876505687984,-2.085835483283694,-2.1368430448091646,-1.9632802026409604,0.004490801572888178,1.798483885928448,2.3852643092156804
1986-10-22,0.17958501493641557,1.9886586851275116,-0.7267778838929981,2.3129551571995575,1.6458371830933065,0.09459580484142022,-2.363645527312455,-2.034991190546613,-2.089016877103901,-1.9298529288025816,0.011922678004339759,1.7629733563719288,2.3282866949895573
1986-10-23,1.3050380313470604,1.9415519492190776,-0.7144771716762668,2.2564515142461836,1.6146879674544534,0.09895123359190063,-2.293845448940335,-1.9868462449787094,-2.0435948490776323,-1.8982452925550866,0.019408370929005134,1.7289647828280947,2.2750228411920417
1986-10-24,-0.4221907145896375,1.8968069661184066,-0.702263527056224,2.2034534163463766,1.5846790348590205,0.10332203641739036,-2.2287345972660133,-1.9411534184285908,-2.0003702583020266,-1.8683629799639745,0.026950013391338647,1.6963529153393324,2.2251261929688466
1986-10-27,0.2195197269354233,1.8542171045950437,-0.6901312892619533,2.1536278764965027,1.5557360961637698,0.10770855906533283,-2.1677826948999805,-1.8976960614142366,-1.9591605027241517,-1.8401258332297825,0.03454981602962379,1.6650432428464674,2.1782996278666236
1986-10-28,0.1955241981805538,1.8136001682369076,-0.6780748651795053,2.106687741511381,1.5277916285239443,0.11211115320093698,-2.1105398783859517,-1.8562833931724514,-1.9198035765969828,-1.8134667720556779,0.04221007149324835,1.6349506966108205,2.1342874701476715
1986-10-29,0.7038787377813848,1.7747947919327978,-0.6660887153948939,2.062384225548,1.5007841210773876,0.11653017658584497,-2.0566216398565955,-1.8167466497191882,-1.8821551701149735,-1.7883310051810803,0.049933159153465634,1.6059985491364333,2.0928691305602363
1986-10-30,1.1515521316639332,1.7376574679999734,-0.6541673401737661,2.0205009237935485,1.4746574235073637,0.12096599325987722,-2.005697079934015,-1.778935911021858,-1.8460862535074776,-1.764675510744807,0.05772155013166051,1.5781174759363812,2.0538540126595604
1986-10-31,0.08885027638546693,1.702060075888333,-0.6423052652840856,1.980848978349457,1.4493601816185182,0.1254189737313504,-1.9574796440701143,-1.7427174701004564,-1.8114810527277811,-1.7424687758252617,0.06557781267140371,1.551244753824318,2.017077418846012
1986-11-03,0.7395214202178734,1.6678878176599166,-0.630497027563798,1.943263150662003,1.4248453468617628,0.12988949517104142,-1.9117197445333856,-1.7079716378955787,-1.7782353438316731,-1.7216907970219937,0.07350461788311007,1.5253235744272755,1.9823972563383372
