feature,pinball_degradation
fed_funds,2.7962029e-05
unemployment_rate,1.3955636e-05
nonfarm_payrolls,9.948853e-06
pce_price_index,6.4719934e-06
hy_ccc_spread,1.7853454e-06
capacity_utilization,9.036157e-07
returns,-9.92557e-06
industrial_production,-1.0298332e-05
t10y2y_spread,-1.3822457e-05
epu_index,-1.6373815e-05
corp_bond_spread,-1.6965438e-05
retail_sales,-1.8274179e-05
consumer_confidence,-2.6357826e-05
housing_starts,-2.8530252e-05
building_permits,-3.17964e-05
durable_orders,-4.616659e-05
t10y3m_spread,-8.078024e-05
