Date,returns,pce_price_index,unemployment_rate,nonfarm_payrolls,industrial_production,capacity_utilization,housing_starts,building_permits,retail_sales,durable_orders,consumer_confidence,fed_funds,epu_index,t10y2y_spread,t10y3m_spread
1998-01-05,0.08384023792711884,1.5646366906110722,-1.7605370180195026,1.713305750355263,1.8474592288482252,1.947165274196937,0.8919086682489394,0.9138318755589732,1.053837292413565,2.4174226203461924,1.3092919777517897,0.6400753720373245,1.5835010533187759,-2.2712240807320567,-1.6382707183852032
1998-01-06,-1.0342609885830314,1.5556793928838395,-1.7461024758399537,1.7002304421666992,1.8311152506069972,1.9254590915934235,0.8895570402963925,0.9067304570313724,1.0474677499985963,2.3797264393176585,1.298373210276409,0.6342519197865113,1.5695933563865654,-2.2387467380653883,-1.6280182392679203
1998-01-07,-0.3281992967986245,1.546997521498483,-1.7320037348882522,1.687465648253718,1.8151642283949168,1.904288082196118,0.8872129731611695,0.8996758297331671,1.0412079067249866,2.3434109671834653,1.2875941865438227,0.628441779377239,1.5559167554476596,-2.2073343741248164,-1.617897170096418
1998-01-08,-0.8115136773398893,1.5385921007444816,-1.7182324014283894,1.6750052152810397,1.7995943738865234,1.8836294854989692,0.8848764135378347,0.8926669377787808,1.0350592242035508,2.3083895110187127,1.2769512062901751,0.6226443118172595,1.5424640706808885,-2.176926504196299,-1.6079044601201913
1998-01-09,-2.6415168612071507,1.5278467756559129,-1.7047806392290386,1.6613166562490875,1.7826087448638448,1.862529849964474,0.8780527433372864,0.885670014521296,1.0283096098580142,2.279327674061144,1.2684707800039063,0.6166788081979103,1.5288886104898007,-2.1497517836973272,-1.5929660410096529
1998-01-12,0.9938778182324527,1.456222301262035,-1.2663808818516173,1.9841763132019217,1.9512971013579843,1.3997708384576752,1.8301501451452613,0.49652885759674936,1.5561457746800278,0.009481560317418782,-0.2242714176154475,0.44883447282343203,-0.7475365194652936,-2.196003002012247,-2.3014717939060705
1998-01-13,1.107477482911712,1.446587165078586,-1.2581600754935585,1.9649527339416852,1.9313211951649376,1.3875264510165344,1.813533134861275,0.49169197692723066,1.5457411279434983,0.003571671935343575,-0.23170674835321625,0.443284506833071,-0.744073883892831,-2.168351575922202,-2.2682648412984467
1998-01-14,0.44563920464730583,1.4371567867448447,-1.2500827168654849,1.9462310898476602,1.9118415507327744,1.3754570782247653,1.7973018715513318,0.486860337411738,1.5355817359639832,-0.0023907600899653867,-0.23925012294754527,0.437727311280797,-0.7406248525938514,-2.1415268010737707,-2.236164768690112
1998-01-15,-0.7270172199072886,1.4279295739736249,-1.2421482479963641,1.9279935016545757,1.8928390259732442,1.363557665342069,1.781444156111967,0.4820335745378002,1.5256653636481532,-0.008407448627544478,-0.24690558002948265,0.4321621179459795,-0.7371892774085048,-2.1154872067275785,-2.205107861486125
1998-01-16,0.8977549327762764,1.418904232907354,-1.2343563056460627,1.9102232181424235,1.874295621376225,1.3518233519018266,1.7659485041876959,0.4772113230256097,1.5159901606766713,-0.014480174704883024,-0.25467736674552116,0.42658814286398006,-0.7337670120644028,-2.0901942427429803,-2.1750354297423944
1998-01-20,1.4403271869277565,1.4100797730905559,-1.2267067275185588,1.892904543468454,1.8561944008469586,1.3402494620357213,1.7508041059510964,0.4723932166718491,1.5065546659363158,-0.020610791261418536,-0.2625699531068642,0.421004585417611,-0.7303579121430295,-2.0656120226494235,-2.14589330881178
1998-01-21,-0.7617680726566256,1.4014555139440434,-1.2191995595141731,1.876022771278085,1.838519419596549,1.3288314953793339,1.736000789424087,0.46757888819126614,1.497357813944812,-0.026801227157131593,-0.2705880475694885,0.4154106273823132,-0.7269618350468595,-2.0417070939877693,-2.1176314193780494
1998-01-22,-0.7604968409363689,1.393031092843083,-1.211835064112599,1.8595641249656476,1.8212556583889394,1.3175651185177855,1.7215289870548633,0.46276796905603274,1.4883989433855054,-0.03305349145700756,-0.27873661397206856,0.4098054319218662,-0.7235786399671585,-2.0184482325734314,-2.0902033787034333
1998-01-23,-0.5622827506808309,1.3848064749186764,-1.2046137299928836,1.8435157035319323,1.8043889635283452,1.3064461569342598,1.707379705297681,0.4579600893324914,1.4796778078935682,-0.039369678014380606,-0.28702088997462416,0.4041881425309263,-0.7202081878524578,-1.9958062577994684,-2.0635661561871985
1998-01-26,-0.13716743352101587,1.3767819647224369,-1.197536283011897,1.8278654325524446,1.787905992042208,1.295470587426028,1.693544496972298,0.45315487751526545,1.471194589263553,-0.045751970378183765,-0.29544640715781567,0.39855788192066327,-0.7168503413776747,-1.9737538664918717,-2.0376797673845557
1998-01-27,0.9961215207216702,1.3689582199195858,-1.1906036986813313,1.8126020198294464,1.771794161576957,1.2846345309571408,1.6800154362063637,0.44835196035846725,1.4629499132790706,-0.05220264705173911,-0.30401901296342887,0.3929137508433014,-0.713504964913876,-1.9522654831634236,-2.012507001509134
1998-01-28,0.6576077926758034,1.3613362672004328,-1.1838172163040594,1.7977149153534253,1.75604160457791,1.2739342459173748,1.6667850957880752,0.44355096270372657,1.4549448684012294,-0.05872408713347895,-0.3127448946793762,0.3872548268510907,-0.7101719244986573,-1.931317124796702,-1.988013178170984
1998-01-29,0.6159415570415732,1.353917520633337,-1.1771783549547403,1.7831942752465584,1.7406371263732086,1.263366121761376,1.6538465267784153,0.4387515073049989,1.4471810275932506,-0.06531877637292127,-0.32163060569883384,0.38158016298480407,-0.7068510878071292,-1.910886278529347,-1.9641659297122391
1998-01-30,-0.5366035829927495,1.3467038027174312,-1.170688931517919,1.7690309294028734,1.7255701668235026,1.2529266730019224,1.6411932402522533,0.4339532146497174,1.4396604736054448,-0.07198931367887532,-0.33068309431387133,0.3758887863866021,-0.7035423241234936,-1.8909517908221511,-1.9409350060152089
1998-02-02,1.7420824533698647,1.3396973684326086,-1.1643510810289792,1.7552163525779216,1.7108307652372734,1.2426125335352052,1.6288191910563263,0.42915570277627646,1.4323858280994233,-0.07873841812043644,-0.33990973533854923,0.3701796968314025,-0.7002455043131955,-1.8714937668686553,-1.9182920990899657
1998-02-03,0.3143834638859798,1.3329009326361791,-1.158167279601647,1.7417426387154733,1.6964095282842713,1.2324204512757069,1.6167187634893594,0.42435858708739516,1.4253602850532863,-0.08556893646588092,-0.34931836489719603,0.36445186517065686,-0.6969605007956378,-1.8524934791581398,-1.8962106851141884
1998-02-04,-0.012043900756520646,1.3263177012078733,-1.152140370270123,1.7286024783306597,1.6822976006698425,1.222347283081702,1.604886758826068,0.41956148015928035,1.4185876489635834,-0.09248385130912948,-0.3589173187603274,0.35870423168174176,-0.6936871875174416,-1.8339332842361078,-1.8746658819084916
1998-02-05,-0.3783731941278916,1.3199514064135318,-1.1462735921260416,1.715789138798586,1.6684866383593193,1.2123899899524857,1.5933183846222445,0.41476399154626176,1.4120723784464406,-0.09948628983911473,-0.3687154746651047,0.352935704315633,-0.6904254399262454,-1.8157965468207617,-1.8536343200947198
1998-02-06,0.6667020834222709,1.313806347032251,-1.1405706131922424,1.7032964474252463,1.6549687841653158,1.2025456324804338,1.582009245753326,0.40996572758055577,1.4058196359424997,-0.10657953331324757,-0.37872229912076527,0.34714515683481484,-0.6871751349450214,-1.7980675705330962,-1.8330940264104683
1998-02-09,-0.23567782131603246,1.3078874338860598,-1.1350355675478827,1.6911187772039813,1.6417366455327076,1.192811366542442,1.5709553371535079,0.405166291167048,1.399835344350983,-0.11376702730318176,-0.38894789927321094,0.3413314268328095,-0.683936150946905,-1.7807315345845203,-1.8130243178463314
1998-02-10,0.607227897387691,1.4541632075601263,-1.5941979499362173,1.941093654744328,1.8154564579038572,0.7746043773963378,0.8590251618944721,3.327255803321539,1.6592558461577018,-0.04658413232029004,1.1167296752107196,0.8559109372791541,2.4082423007769185,-0.9550329045703689,-1.916109985575898
1998-02-11,-0.008874317874429848,1.4446698448251514,-1.582399778361507,1.9230878863315004,1.7992464208838426,0.7682321514778891,0.8535539840481491,3.2578450518136943,1.6443016142636164,-0.05412697116279893,1.1104848796200004,0.8497674479591741,2.37181411125717,-0.9481509212113756,-1.8938933685784296
1998-02-12,0.2594838403469166,1.4353823714694234,-1.5708536548918912,1.9055438815818524,1.7834107788805469,0.7618904500770323,0.8481679941493567,3.192398088267503,1.6296367470437472,-0.06178104691461322,1.104376505165021,0.8436813645694098,2.3366907568949293,-0.9413330140682125,-1.8722189569254375
