period,breach_rate,coverage_error,cvar,rmse,mae,pinball,brier,kupiec_LR,kupiec_p,christoffersen_ind_LR,christoffersen_ind_p,christoffersen_cc_LR,christoffersen_cc_p
1987,0.08300395256916997,0.033003952569169964,-0.0009124466450884938,0.351891428232193,0.3054189085960388,0.04711514711380005,0.07720355731225298,4.881845626517456,0.027140584020631495,123.64418386168214,1.0078959840711824e-28,128.59710589769313,1.1898528630543872e-28
1998,0.0,-0.05,,0.386243611574173,0.3848820626735687,0.019244102761149406,0.002500000000000001,25.851820320925487,3.686568671972143e-07,-0.0,1.0,25.74923378255039,2.562270211004052e-06
2001,0.0,-0.05,,0.3095998764038086,0.3084779679775238,0.01542389765381813,0.0025000000000000014,25.441473966625082,4.560084953475983e-07,-0.0,1.0,25.338887427449986,3.145795641229335e-06
2008,0.0,-0.05,,0.10824768245220184,0.10401070863008499,0.00520053505897522,0.002500000000000001,25.95440690950059,3.4957650949621474e-07,-0.0,1.0,25.85182037132549,2.434156700453849e-06
2011,0.07142857142857142,0.021428571428571422,9.644593228586018e-05,0.19151318073272705,0.1898951232433319,0.019078711047768593,0.06678571428571428,2.16302878722621,0.14136580026797255,116.63371016908934,3.45296919994712e-27,118.84267440335445,1.5618565599267606e-26
2015,0.3333333333333333,0.2833333333333333,-0.0021091860253363848,0.1210973784327507,0.0936201736330986,0.02493904158473015,0.30249999999999994,199.71442805070183,2.4107396222672284e-45,151.56380587108757,7.891515398921805e-35,351.98856826231736,3.686833757400371e-77
2020,0.0,-0.05,,0.2043045312166214,0.2025565654039383,0.01012782845646143,0.002500000000000001,25.95440690950059,3.4957650949621474e-07,-0.0,1.0,25.85182037132549,2.434156700453849e-06
2022,0.00398406374501992,-0.046015936254980086,-0.043236613273620605,0.04851299524307251,0.04523317143321037,0.002262727590277791,0.006085657370517929,18.591195227850978,1.619668967369127e-05,0.008032149905567106,0.9285873928127154,18.50464081031491,9.588889263427163e-05
