group,run_id,period,breach_rate,coverage_error,cvar,rmse,mae,pinball,brier,kupiec_LR,kupiec_p,christoffersen_ind_LR,christoffersen_ind_p,christoffersen_cc_LR,christoffersen_cc_p,cfg_seq_length,cfg_z_window,cfg_use_cls_token,cfg_zscore,cfg_layers,cfg_head_size,cfg_num_heads,cfg_ff_dim,cfg_dropout,cfg_attn_dropout,cfg_calibration,cfg_refit,cfg_timeframe,cfg_use_returns,cfg_use_spx_close,cfg_data_start_year,cfg_end_date
base,run_20250905_120706_4898a8c3,1987,0.0,-0.05,,0.4298694133758545,0.4267067909240722,0.0213353373110294,0.0025,25.95440690950059,3.4957650949621474e-07,-0.0,1.0,25.85182037132549,2.434156700453849e-06,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1998,0.0,-0.05,,0.5451470017433167,0.4846153259277344,0.0242307651787996,0.0025,25.851820320925487,3.686568671972143e-07,-0.0,1.0,25.74923378255039,2.562270211004052e-06,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,2001,0.2782258064516129,0.2282258064516129,-0.0024080285802483,0.2820638418197632,0.238208070397377,0.0429346710443496,0.2529032258064516,138.5042111687748,5.653538206327084e-32,252.578909913711,7.115826715249419e-57,391.6341797103131,9.072321112261745e-86,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,2008,0.0513833992094861,0.0013833992094861,-0.0645905584096908,0.0513604432344436,0.0458144433796405,0.0029913366306573,0.0487450592885375,0.0101056204585671,0.9199261746376312,2.0173253998263587,0.1555128511837158,2.030560240983987,0.362300927702623,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,2011,0.0,-0.05,,0.1212684512138366,0.1186131536960601,0.0059306574985384,0.0025,25.851820320925487,3.686568671972143e-07,-0.0,1.0,25.74923378255039,2.562270211004052e-06,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,2015,0.0277777777777777,-0.0222222222222222,-0.0255365055054426,0.02245619520545,0.0202231984585523,0.0012088860385119,0.0274999999999999,3.100971227588913,0.0782456008722678,6.766628178625605,0.0092878147714724,9.82146825520756,0.007367077970366,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,2020,0.1106719367588932,0.0606719367588932,-0.0390274487435817,0.0280694887042045,0.0224758572876453,0.0032515539787709,0.1021047430830039,14.79654205909648,0.0001197548926481,0.0050689631955184,0.9432412463118914,14.93409586295357,0.0005716132500883,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,2022,0.0358565737051792,-0.0141434262948207,-0.0335340052843093,0.0348741970956325,0.0313205420970916,0.0016931233694776,0.0347709163346613,1.1676618152789895,0.2798821958536523,0.6723554974996478,0.4122315769053662,1.8106097196952873,0.4044185753226162,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_5620a31e,1987,0.0,-0.05,,0.3307514786720276,0.329047828912735,0.0164523944258689,0.0025,25.95440690950059,3.4957650949621474e-07,-0.0,1.0,25.85182037132549,2.434156700453849e-06,30,126,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_5620a31e,1998,0.0,-0.05,,0.6917782425880432,0.6761362552642822,0.0338068082928657,0.0025,25.851820320925487,3.686568671972143e-07,-0.0,1.0,25.74923378255039,2.562270211004052e-06,30,126,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_5620a31e,2001,0.6451612903225806,0.5951612903225806,-0.0008494394714944,0.3618071675300598,0.3274528682231903,0.1991589218378067,0.5831451612903227,645.0681894746438,2.640517282638361e-142,289.2917432336652,7.093812296731703e-65,936.3368992208776,4.7536339152524066e-204,30,126,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_5620a31e,2008,0.0237154150197628,-0.0262845849802371,-0.0770478621125221,0.0618605613708496,0.0565055646002292,0.0032430835999548,0.0238438735177865,4.531545338930046,0.0332755567613362,0.2927119512681762,0.5884878665878619,4.7697692762927515,0.0920996037474639,30,126,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_5620a31e,2011,0.0238095238095238,-0.0261904761904761,-0.0320631228387355,0.0413049459457397,0.0359309017658233,0.0019377671414986,0.0239285714285714,4.4770573250245755,0.0343528206448315,0.2939069323851729,0.5877276855600846,4.716669818430231,0.0945775724038563,30,126,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
