Date,returns,pce_price_index,unemployment_rate,nonfarm_payrolls,industrial_production,capacity_utilization,housing_starts,building_permits,consumer_confidence,fed_funds,epu_index,t10y2y_spread,t10y3m_spread
1987-01-02,2.0713176937905784,1.2269405516631569,-1.4142135623548564,1.223488800165324,1.366743385027147,1.3612929529596394,-1.2006970792448828,-1.3921302963495823,-0.9812012647841839,1.0169066659231756,-0.664264335679567,-1.6328459856890416,-1.414837918657621
1987-01-05,2.5684894198412542,1.2122458465527808,-1.4142135623548377,1.2091703115460049,1.329961821995856,1.3228802614181194,-1.2022981375342814,-1.3733281416300607,-0.9506511114667423,1.0744403335255326,-0.6587210094045199,-1.5833318114858652,-1.4083310682366408
1987-01-06,0.13174533276650877,1.2027104356580407,-1.4142135623548564,1.2000900425632137,1.2957654010182373,1.2869164352090428,-1.2147606462481015,-1.3599701284753096,-0.9209672510666396,1.1383689598580866,-0.6629731694024736,-1.5366996398565174,-1.4018829578402914
1987-01-07,1.0064238561450558,1.199775398366453,-1.4142135623548564,1.1977415979864665,1.2640934448712193,1.2532925463515554,-1.2436556821829985,-1.3532376972981832,-0.8920711124926978,1.2101353588238435,-0.6871686533364089,-1.4926512526269322,-1.3954926173377487
1987-01-08,0.7287673709311226,1.2057821042537697,-1.4142135623548377,1.2045603639215385,1.2349429237079883,1.2219447620636983,-1.2999784089142874,-1.3550097809224118,-0.8638902019756655,1.2916881427095743,-0.7640151582867655,-1.450929786321951,-1.3891590989412714
1987-01-09,0.4798245649643536,1.2247448717758194,-1.4142135623548564,1.2247448713311817,1.2083776869731242,1.1928577317012374,-1.4091104697329784,-1.3683758858684791,-0.8363571905702916,1.385736548071724,-1.1130433143787255,-1.4113126084218686,-1.3828814765464774
1987-01-12,0.5153815187158789,2.066991546245381,-5.495868639084569,2.3931474008108915,3.6016582766349012,4.086438952645473,4.679186673704247,6.749737473563191,-1.9800877418338398,6.557278765546209,3.3786849846480536,-2.2185639583403085,-2.230844435382717
1987-01-13,-0.33906396595545796,1.9749690179510524,-4.461785071093783,2.264994131111,3.248956089743129,3.6000487941091035,3.989362579300853,5.0842978753722985,-1.9033362320594889,4.991595355301473,3.1066363997085946,-2.101384487599168,-2.1159036036613683
1987-01-14,0.987699965929754,1.892027555568282,-3.836794817948361,2.152555542992952,2.976042886124462,3.2451293294065304,3.5233289443726292,4.22677325870724,-1.8328666364771893,4.167455852897729,2.885950036433218,-1.9973573288386246,-2.0138052557129513
1987-01-15,1.0616737846239668,1.8167521337595627,-3.405413181423182,2.052810465717348,2.756349119010765,2.970801596580143,3.1803807823401886,3.6799547936076684,-1.767809054084787,3.636581561085318,2.7019641949994866,-1.9040450797580943,-1.9222103713048926
1987-01-16,0.14613383510547953,1.7480333424543233,-3.083661869493843,1.9635099217749468,2.574271567790944,2.7501159906058668,2.9136835143801774,3.291079566801967,-1.7074535248195555,3.25681188375037,2.5452877198691155,-1.819598752324853,-1.8393396472143928
1987-01-19,1.1014147025124426,1.6849904117221979,-2.8311042925186247,1.8829432310976446,2.4199638359262345,2.5672841210826474,2.6980993744097965,2.995424933614914,-1.6512140121364969,2.966951376360484,2.40958846825334,-1.742586458941208,-1.7638125366606794
1987-01-20,-0.38078978054112733,1.6269174552324481,-2.625536635228037,1.8097859829214826,2.286864851817135,2.412359959656637,2.5187621191632172,2.76023304721381,-1.5986018348218352,2.7357228114769563,2.2904198658659283,-1.671879398429675,-1.694539627339904
1987-01-21,-0.764144963795928,1.5732453064259726,-2.453613439705282,1.7429982013612084,2.170412396235306,2.2787243719057244,2.3662392449743326,2.566903900522278,-1.549205750048856,2.5452475593792134,2.184554737261334,-1.6065737786312744,-1.6306486728750014
1987-01-22,2.2761762706060122,1.5235141504632932,-2.3067636832062717,1.681754437309626,2.067323799189866,2.1617788421431396,2.2342169174544826,2.4039845609108994,-1.5026768043332699,2.3844628526356786,2.0895860311722996,-1.5459360073220803,-1.5714325347942462
1987-01-23,-1.7568651238064243,1.477353882261867,-2.1791956124449037,1.6253948578445412,1.9751701828652843,2.0582164260865246,2.1182869141743885,2.2639834647804733,-1.4587166589036997,2.246105174308841,2.0036766000314197,-1.4893633728330724,-1.5163117894246616
1987-01-26,-0.4236287569068154,1.434470220229524,-2.0668346623787768,1.5733905989892458,1.892112485347129,1.9655908340101442,2.015264745828754,2.1417649005271473,-1.4170684848270285,2.1251803393555564,1.9253964256917653,-1.4363552906755415,-1.4648073964147106
1987-01-27,1.4334131969250394,1.394635343531773,-1.9667189346658533,1.5253191446779275,1.8167313826212175,1.8820495364620258,1.9227842243089734,2.033673590365465,-1.3775097846570055,2.018125194829694,1.853613316935392,-1.3864919150086061,-1.4165204296566978
1987-01-28,0.4084809712058786,1.3576823584064086,-1.8766360928085604,1.480847045794726,1.747914138856033,1.8061619238279043,1.8390450575762929,1.937026792224617,-1.3398466763355217,1.9223193400493328,1.7874174801969485,-1.339417983666209,-1.3711168743804782
1987-01-29,-0.6863540903620893,1.3235033441334447,-1.7948953965421932,1.4397183089301917,1.6847772931311427,1.7368050097935024,1.7626495629614325,1.8498044254384096,-1.3039092996104364,1.8357862576498054,1.7260682134218017,-1.2948304473502485,-1.3283161390315186
1987-01-30,-0.27303080364008997,1.2920511704371391,-1.720179174805868,1.4017475041222833,1.6266126698916958,1.6730852998127217,1.6924935371297198,1.7704519725756027,-1.2695480932052656,1.757002700648259,1.668955439143174,-1.2524688783791966,-1.2878823568417896
