feature,pinball_degradation
building_permits,0.00055110175
pce_price_index,0.0003377581
industrial_production,0.0002965117
capacity_utilization,0.00026357267
unemployment_rate,0.00021862518
t10y2y_spread,0.000101531856
fed_funds,6.4978376e-05
returns,-2.0107254e-06
retail_sales,-3.9543957e-06
nonfarm_payrolls,-2.0050444e-05
durable_orders,-7.115584e-05
t10y3m_spread,-7.232372e-05
epu_index,-8.9229085e-05
housing_starts,-0.00021192897
hy_ccc_spread,-0.00025310926
consumer_confidence,-0.00027876813
corp_bond_spread,-0.0002983082
