run_dir,seq_length,z_window,use_returns,use_spx_close,refit,timeframe,calibration,calib_window,use_cls_token,layers,head_size,num_heads,ff_dim,dropout,attn_dropout,n_periods,breach_rate,breach_rate_std,coverage_error,coverage_error_std,cvar,cvar_std,rmse,rmse_std,mae,mae_std,pinball,pinball_std,brier,brier_std,kupiec_pass_rate,christoffersen_cc_pass_rate
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_124153_3049e83c,120,63,True,False,Y,daily,none,252,False,4,16,4,128,0.1,0.1,8,0.04353328264206487,0.07343432428419021,-0.006466717357935088,0.07343432428419017,-0.01885326988995068,0.008746001318511932,0.22478475421667096,0.2864440099346197,0.20615820540115234,0.25878692776512047,0.010975224970024964,0.012709327765243502,0.04167995437785839,0.06609089185577116,0.375,0.125
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_123530_1dcc6cfc,60,252,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.05803398802056344,0.10836667100747378,0.00803398802056346,0.10836667100747376,-0.07274207007139916,0.06885566354688165,0.12752628931775684,0.11274448850290632,0.12414638954214746,0.1123605509400145,0.006712781774694987,0.005195583318970626,0.05473058921850709,0.0975300039067264,0.25,0.25
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_121658_6075f4b0,60,63,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.039108380768912515,0.05511650846583563,-0.010891619231087463,0.05511650846583561,-0.0777561921626329,0.06461263377773561,0.08032892411574716,0.06638432910662048,0.07400957029312846,0.06272314117554434,0.004383073246572113,0.0028777477119185306,0.037697542692021274,0.049604857619252075,0.25,0.25
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_120706_4898a8c3,30,63,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.06298943673786864,0.08846897504750686,0.01298943673786866,0.08846897504750686,-0.033019309304654534,0.020130321814651762,0.1893886290490627,0.1918465771569213,0.1734971727710217,0.1771040634756793,0.012947041381266839,0.014158597218052175,0.05919049306408177,0.07962207754275617,0.375,0.25
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_122617_94bc2f17,60,126,True,False,Y,daily,none,252,False,4,16,4,128,0.1,0.1,8,0.0327936325467938,0.04996974761284361,-0.017206367453206153,0.0499697476128436,-0.03008392852331906,0.02386794820450572,0.24973822571337223,0.2646298429577495,0.22612858400680122,0.24114483278050508,0.012220166172482963,0.012922175292356593,0.032014269292114386,0.04497277285155925,0.125,0.125
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_125044_04e19497,120,126,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.07402352288568291,0.1149483014728761,0.024023522885682946,0.11494830147287609,-0.048851472698152,0.03225744952524555,0.11945258872583503,0.10790358916706622,0.11624164739623663,0.10882175207045659,0.00651396196917625,0.004911226316551225,0.06912117059711462,0.1034534713255885,0.125,0.125
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_131749_ca03bc0b,120,252,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.014406799678755326,0.027281187658328918,-0.03559320032124466,0.027281187658328925,-0.0471678394824266,0.017524538561701802,0.20703158434480426,0.18843099412700742,0.20343670970760283,0.18904106303773985,0.010336312130675599,0.00931225914462824,0.015466119710879788,0.02455306889249601,0.125,0.25
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_120706_7106bab1,30,63,True,False,Y,daily,none,252,False,4,16,4,128,0.1,0.1,8,0.08576515185178704,0.08331109285620826,0.03576515185178706,0.08331109285620825,-0.023782935176443813,0.02318063610146745,0.19163965084590015,0.2658848587646212,0.1626812189351767,0.22673308426507652,0.01953368877002499,0.03228552678099177,0.07968863666660832,0.07497998357058741,0.5,0.375
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_120706_d00f0d9d,30,126,True,False,Y,daily,none,252,False,4,16,4,128,0.1,0.1,8,0.09866177113492199,0.13177896330792896,0.04866177113492201,0.13177896330792893,-0.030070212252515664,0.01799951527629156,0.2651440745685249,0.4064516352198122,0.22944429120980203,0.3348304942002624,0.04651731895864936,0.10599059652654695,0.09129559402142978,0.11860106697713606,0.0,0.0
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_125306_ef2c0a29,120,126,True,False,Y,daily,none,252,False,4,16,4,128,0.1,0.1,8,0.10236790971827679,0.22920388890556723,0.052367909718276866,0.22920388890556717,-0.05302961509940877,0.06345345609350037,0.1332763968966901,0.09796428453703473,0.1226285602897405,0.09468730303536403,0.010275892680510813,0.009581114834930796,0.0946311187464491,0.2062835000150105,0.25,0.125
