Date,returns,pce_price_index,unemployment_rate,nonfarm_payrolls,industrial_production,capacity_utilization,housing_starts,building_permits,consumer_confidence,fed_funds,epu_index,t10y2y_spread,t10y3m_spread
1987-01-16,0.21000400178832018,1.7386528307312084,-3.1777209903251387,1.7330407946423687,2.8865558749106217,3.256279727291198,1.229200985202453,2.8768299714094865,-1.91555491764691,1.7920103992974736,0.28002825771793527,-0.2226758423872982,-0.8908129994282316
1987-01-19,1.0960025004595881,1.7050953329549112,-3.0628583271810257,1.7052680185730003,2.786415238948291,3.115408261895344,1.232938824965929,2.7857177663359685,-1.8797627902432694,1.7928992491672244,0.2729759946118131,-0.2426835327314537,-0.9005726643412726
1987-01-20,-0.22443929594160913,1.6728830329967284,-2.9593201512486424,1.6787453292186074,2.695083899156506,2.98984782452726,1.2366976743937192,2.701714594641541,-1.84570377223264,1.7937891096561644,0.2659188013764948,-0.26364022431871537,-0.910493084818422
1987-01-21,-0.5714902547858679,1.6419250327073638,-2.865424747663947,1.6534167370652424,2.61133714879536,2.8769744932082792,1.2404777555746342,2.6239153010066616,-1.8132662635307988,1.7946799827995659,0.2588554974165658,-0.28565706932688,-0.9205795622723605
1987-01-22,2.222614573515385,1.6121393325802127,-2.7798313946486997,1.6292339246559344,2.5341795208547127,2.7747567885941646,1.244279293907234,2.5515686502428925,-1.7823518240548069,1.7955718706384634,0.2517848883667112,-0.30886435085567143,-0.9308376461239245
1987-01-23,-1.529362841007094,1.5834517973395847,-2.7014574474592457,1.606155792361218,2.4627926349656577,2.681594119595079,1.2481025181637988,2.484045196008607,-1.7528737253081257,1.796464775219704,0.24470576491208032,-0.33341600870977167,-0.9412731490251093
1987-01-26,-0.30400578947060564,1.5557952718234174,-2.6294189719835637,1.5841481320166715,2.3964968864443525,2.5962060393847115,1.2519476605558213,2.420812988569733,-1.724755756071614,1.7973586985959242,0.2376169015687298,-0.3594955547930556,-0.9518921632425543
1987-01-27,1.458142259522859,1.5291088229647878,-2.5629874353273263,1.5631834231640866,2.3347228380197236,2.5175544435904693,1.2558149568010624,2.3614189566701573,-1.6979312441966337,1.7982536428255997,0.23051705542091314,-0.38732391423196455,-0.962701078307679
1987-01-28,0.49507700424533585,1.50333708821137,-2.5015575884391716,1.5432407510392248,2.2769895412031116,2.444787722444753,1.2597046461922123,2.305474460488616,-1.6723422652946616,1.7991496099730664,0.22340496481177768,-0.4171699826960714,-0.9737066000510165
1987-01-29,-0.5644058164289607,1.4784297143452731,-2.4446233067010943,1.5243058500231748,2.2228878910516228,2.377199902522141,1.2636169716672114,2.252643954161038,-1.6479390163470158,1.8000466021085246,0.21627934798385515,-0.44936509099069266,-0.9849157711510641
