Date,returns,pce_price_index,unemployment_rate,nonfarm_payrolls,industrial_production,capacity_utilization,housing_starts,building_permits,retail_sales,durable_orders,consumer_confidence,fed_funds,epu_index,t10y2y_spread,t10y3m_spread,hy_ccc_spread,corp_bond_spread
2007-08-15,-1.9321141275204898,1.877438440855283,1.7006736516238279,1.3462383718077213,1.2366373189041955,-0.004857440869481058,-1.6922208505615908,-2.189270614039668,1.5111929053367252,1.069634531694801,0.39252350185097384,1.6724248837183366,-1.1532368293042103,2.6526018837387264,0.3345999113558077,1.427151031361426,2.4907981016606744
2007-08-16,0.386318471134541,1.856688330861218,1.7006736516238279,1.3366040657130414,1.226860390593028,-0.00467467047076431,-1.6792034530721454,-2.1666412863181637,1.4976178391106592,1.0632107968163718,0.38761539222996944,1.6599023536850261,-1.1442206134491038,2.6094551997399424,0.33593385378939217,1.425216170467246,2.4635627380086302
2007-08-17,3.204349593975471,1.8364228742528212,1.700673651623836,1.327125387254357,1.2171997903932479,-0.0044918990018246886,-1.666484919768008,-2.1446990682599694,1.4842641427213836,1.0569004791712906,0.3827031776686105,1.6476697185953522,-1.1352962064154064,2.568031012954838,0.3372698177814833,1.4232865066856204,2.437062689566472
2007-08-20,-0.09665562331791933,1.8166219384036388,1.7006736516238279,1.317800068786487,1.2076528135201756,-0.004309126444233972,-1.6540591363767547,-2.123416606289576,1.4711250620024734,1.0507050535399625,0.3777863960097454,1.6357216402190093,-1.1264614434740967,2.528213321293448,0.33860781413305846,1.4213620143882708,2.4112641860570796
2007-08-21,0.08500794512048353,1.797266548004593,1.7006736516238279,1.3086260140822086,1.1982168506998683,-0.004126352779748939,-1.6419204544356878,-2.102768477439522,1.4581941315322537,1.0446262372899342,0.3728645789425754,1.6240532293574506,-1.117714223114038,2.4898967999338018,0.3399478537082124,1.4194426681239871,2.3861355959573056
2007-08-22,1.4846072012942197,1.7783388009698664,1.7006736516238279,1.2996012972729545,1.1888893846053485,-0.003943577989986386,-1.6300636788997138,-2.082731048970413,1.445465159257602,1.0386660087230477,0.3679372516904143,1.6126600368557102,-1.1090525045341566,2.4529855683422124,0.34128994743468544,1.4175284426170638,2.3616472551876013
2007-08-23,-0.20827212468998213,1.7598217917178554,1.7006736516238279,1.2907241623807257,1.1796679865045576,-0.003760802056608812,-1.6184840577632145,-2.063282352461795,1.432932212131837,1.0328266276939975,0.36300393268748044,1.6015380465886724,-1.1004743052527457,2.417392127067402,0.3426341063044025,1.4156193127657255,2.3377713122900974
2007-08-24,1.4487663864191722,1.7416995410750318,1.700673651623836,1.2819930234575994,1.170550313109792,-0.0035780249612315657,-1.6071772736537568,-2.0444019708582646,1.4205896026902316,1.0271106588000165,0.358064133244123,1.5906836704072405,-1.0919776988273775,2.3830364373464823,0.34398034137401123,1.4137152536406026,2.3144815882511978
2007-08-27,-1.1883205568379507,1.7239569321384935,1.7006736516238279,1.2734064653508534,1.1615341036192253,-0.0033952466856085333,-1.5961394373731175,-2.02607093715652,1.408431876493386,1.021520997489675,0.3531173571998451,1.5800937450531622,-1.0835608126793097,2.3498451213846687,0.3453286637654302,1.4118162404831898,2.2917534493586937
2007-08-28,-3.08756776693228,1.7065796515080902,1.7006736516238279,1.2649632451200077,1.1526171769414397,-0.003212467211307154,-1.5853670833786662,-2.008271643593246,1.3964538003743692,1.0160608994955205,0.348163100563381,1.5697655310668426,-1.0752218260166586,2.317750765038953,0.34667908466640185,1.4099222487043495,2.2695636916842816
