metric,param,spearman_rho,p_value,n,group_dir,model_size_dir,head_dir,dashboard_scope,source_path
breach_rate,seq_length,0.0527046276694729,0.892879242924744,9,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/correlations_spearman.csv
breach_rate,z_window,0.1581138830084189,0.6845283355605285,9,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/correlations_spearman.csv
pinball,seq_length,0.1581138830084189,0.6845283355605285,9,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/correlations_spearman.csv
pinball,z_window,-0.2635231383473649,0.4932597104489966,9,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/correlations_spearman.csv
cvar,seq_length,-0.7559289460184545,0.0300197452875443,8,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/correlations_spearman.csv
cvar,z_window,0.0629940788348712,0.8821982008249135,8,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/correlations_spearman.csv
rmse,seq_length,0.1054092553389459,0.7872404144981762,9,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/correlations_spearman.csv
rmse,z_window,-0.1054092553389459,0.7872404144981762,9,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/correlations_spearman.csv
mae,seq_length,0.0527046276694729,0.892879242924744,9,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/correlations_spearman.csv
mae,z_window,-0.1581138830084189,0.6845283355605285,9,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/correlations_spearman.csv
brier,seq_length,0.0527046276694729,0.892879242924744,9,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/correlations_spearman.csv
brier,z_window,0.1581138830084189,0.6845283355605285,9,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/correlations_spearman.csv
