feature,pinball_degradation
consumer_confidence,4.6393834e-05
housing_starts,4.2557716e-05
unemployment_rate,3.2636337e-05
capacity_utilization,1.8454157e-05
returns,1.06636435e-05
durable_orders,8.533709e-06
nonfarm_payrolls,7.967465e-06
t10y3m_spread,4.953705e-06
hy_ccc_spread,-2.4111941e-06
retail_sales,-1.0377727e-05
industrial_production,-1.2551434e-05
building_permits,-1.3996847e-05
fed_funds,-1.711864e-05
t10y2y_spread,-2.3992732e-05
corp_bond_spread,-2.7213246e-05
pce_price_index,-5.127862e-05
epu_index,-6.928202e-05
