run_dir,seq_length,z_window,use_returns,use_spx_close,refit,timeframe,calibration,calib_window,use_cls_token,layers,head_size,num_heads,ff_dim,dropout,attn_dropout,n_periods,breach_rate,breach_rate_std,coverage_error,coverage_error_std,cvar,cvar_std,rmse,rmse_std,mae,mae_std,pinball,pinball_std,brier,brier_std,kupiec_pass_rate,christoffersen_cc_pass_rate,d_model,model_size,head
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_123530_1dcc6cfc,60,252,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.05803398802056344,0.10836667100747378,0.00803398802056346,0.10836667100747376,-0.07274207007139916,0.06885566354688165,0.12752628931775684,0.11274448850290632,0.12414638954214746,0.1123605509400145,0.006712781774694987,0.005195583318970626,0.05473058921850709,0.0975300039067264,0.25,0.25,64,Base,CLS
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_121658_6075f4b0,60,63,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.039108380768912515,0.05511650846583563,-0.010891619231087463,0.05511650846583561,-0.0777561921626329,0.06461263377773561,0.08032892411574716,0.06638432910662048,0.07400957029312846,0.06272314117554434,0.004383073246572113,0.0028777477119185306,0.037697542692021274,0.049604857619252075,0.25,0.25,64,Base,CLS
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_120706_4898a8c3,30,63,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.06298943673786864,0.08846897504750686,0.01298943673786866,0.08846897504750686,-0.033019309304654534,0.020130321814651762,0.1893886290490627,0.1918465771569213,0.1734971727710217,0.1771040634756793,0.012947041381266839,0.014158597218052175,0.05919049306408177,0.07962207754275617,0.375,0.25,64,Base,CLS
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_125044_04e19497,120,126,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.07402352288568291,0.1149483014728761,0.024023522885682946,0.11494830147287609,-0.048851472698152,0.03225744952524555,0.11945258872583503,0.10790358916706622,0.11624164739623663,0.10882175207045659,0.00651396196917625,0.004911226316551225,0.06912117059711462,0.1034534713255885,0.125,0.125,64,Base,CLS
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_131749_ca03bc0b,120,252,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.014406799678755326,0.027281187658328918,-0.03559320032124466,0.027281187658328925,-0.0471678394824266,0.017524538561701802,0.20703158434480426,0.18843099412700742,0.20343670970760283,0.18904106303773985,0.010336312130675599,0.00931225914462824,0.015466119710879788,0.02455306889249601,0.125,0.25,64,Base,CLS
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_121622_b26d5add,30,252,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.12252810547133255,0.24051143788096732,0.07252810547133255,0.24051143788096727,-0.0308248325949534,0.01623707553938324,0.1136711458675563,0.1300121339026251,0.10937852598726747,0.13001213479465704,0.011269896000158012,0.014779162228357517,0.11277529492419927,0.21646029409287054,0.0,0.0,64,Base,CLS
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_120706_5620a31e,30,126,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.12672356803476081,0.20415819110088146,0.07672356803476087,0.20415819110088146,-0.031213820397776187,0.02280541327182026,0.19497795775532722,0.22968094369363468,0.18560414738021788,0.22437266522060145,0.032681239172234144,0.06380377361698333,0.11655121123128476,0.18374237199079338,0.125,0.375,64,Base,CLS
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_122523_bd1b713c,60,126,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.1481274225514655,0.17738824052082844,0.09812742255146553,0.1773882405208284,-0.03647062128099296,0.0391659555470777,0.11471261293627318,0.08283508240151799,0.10494172072503713,0.08449875602213534,0.009999657166190425,0.007766009576549631,0.13581468029631893,0.15964941646874556,0.125,0.125,64,Base,CLS
/Users/sdiz/Desktop/BA/Projekt/outputs/base/run_20250905_123809_0b502516,120,63,True,False,Y,daily,none,252,True,4,16,4,128,0.1,0.1,8,0.2832089341209767,0.41040724554940994,0.23320893412097668,0.41040724554940994,-0.030246972472620332,0.027670888988819812,0.122991555603221,0.0992811009247854,0.11508999718353148,0.09596789242083897,0.050599918831721824,0.08209059769052333,0.257388040708879,0.369366520994469,0.0,0.0,64,Base,CLS
