period,breach_rate,coverage_error,cvar,rmse,mae,pinball,brier,kupiec_LR,kupiec_p,christoffersen_ind_LR,christoffersen_ind_p,christoffersen_cc_LR,christoffersen_cc_p
1987,0.6284584980237155,0.5784584980237154,-0.0004518651694525033,0.32809552550315857,0.24961230158805847,0.1812441647052765,0.5681126482213439,628.4418764116978,1.0906856624964353e-138,219.8178209972981,9.91109297055372e-50,850.1440186703335,2.4749813700299278e-185
1998,0.0,-0.05,,0.16783639788627625,0.15792609751224518,0.007896305061876774,0.002500000000000001,25.851820320925487,3.686568671972143e-07,-0.0,1.0,25.74923378255039,2.562270211004052e-06
2001,0.9556451612903226,0.9056451612903226,-0.0008507719030603766,0.10504841804504395,0.09354577213525772,0.08777400851249695,0.8625806451612903,1291.5046005982126,7.932238518489401e-283,34.98281466477698,3.3262814121259957e-09,1326.5783401406356,8.653136055103146e-289
2008,0.1857707509881423,0.13577075098814229,-0.020967669785022736,0.046751394867897034,0.036920469254255295,0.004441696684807539,0.16969367588932802,59.83544580767364,1.0312917211974057e-14,52.4949056985434,4.3136583518630023e-13,112.63969601324979,3.4721684704856846e-25
2011,0.0,-0.05,,0.1081957146525383,0.10328761488199234,0.005164381116628647,0.002500000000000001,25.851820320925487,3.686568671972143e-07,-0.0,1.0,25.74923378255039,2.562270211004052e-06
2015,0.5079365079365079,0.4579365079365079,-0.002153719775378704,0.03790384531021118,0.030937252566218376,0.018903736025094986,0.4596428571428571,430.34551476564803,1.3667429864727435e-95,160.25536560225942,9.95071524508625e-37,591.9207015922998,2.924507820652951e-129
2020,0.7549407114624506,0.7049407114624505,-0.0028836114797741175,0.08310509473085403,0.06818253546953201,0.056160613894462585,0.6819466403162057,868.9681289649595,5.4690022958977467e-191,103.17783249119064,3.0637508691948934e-24,974.8681437412956,2.0420778514013617e-212
2022,0.11155378486055777,0.061553784860557764,-0.026651959866285324,0.02335040643811226,0.01963469386100769,0.0019089109264314175,0.10289840637450197,15.06250381273992,0.00010400894902164948,0.007564030512448602,0.9306942175879095,15.204545247588682,0.0004993153869971074
