Date,returns,pce_price_index,unemployment_rate,nonfarm_payrolls,industrial_production,capacity_utilization,housing_starts,building_permits,retail_sales,durable_orders,consumer_confidence,fed_funds,epu_index,t10y2y_spread,t10y3m_spread
1997-08-13,-0.7321762478488476,1.2959403405185173,-1.8087377846906691,1.9037350369529074,1.918977966800887,1.072861132051122,-0.37809318832988614,1.158040817850292,1.9416127480242726,2.2940772398999463,2.5548034537709734,1.4281564524777022,-0.5866963222695736,-3.078596101862646,-2.7467624782725495
1997-08-14,0.19081419937569502,1.287880392871879,-1.7947425000003672,1.8852318936966224,1.9005898483544268,1.0643664221630118,-0.37552729036759225,1.1622230822092703,1.9240235889304924,2.26097346835838,2.5154338925351363,1.419000498105793,-0.5815847081800437,-3.011126716377042,-2.6952722898506742
1997-08-15,-3.134024538305116,1.2799795723361829,-1.7811118597182434,1.8671758876511146,1.8826553822978782,1.0559475938705507,-0.3729645286154344,1.1664326959485292,1.906892585637009,2.2289714371258325,2.4775766054141353,1.4099515564476959,-0.5765379770235176,-2.9473886663898248,-2.6461436431873193
1997-08-18,1.343566907482018,1.2722378849682014,-1.767838323419219,1.8495510759086278,1.8651587436560435,1.0476028554956582,-0.3704048521472336,1.170669996806959,1.890205320059475,2.198007802686699,2.4411351576240596,1.4010072662515214,-0.5715619828247916,-2.8870406191114397,-2.599194409013547
1997-08-19,1.5419619720335838,1.2646555859236956,-1.7549149983633299,1.8323424536133828,1.8480850604144698,1.0393304621191926,-0.3678482102555026,1.17493532841164,1.8739483203118712,2.168024211710571,2.406021616041467,1.3921653381102161,-0.5666635057723403,-2.8297835163511773,-2.5542615729553653
1997-08-20,1.4816440632228365,1.2572331900660556,-1.742335622174608,1.81553589373815,1.8314203536141067,1.0311287137552112,-0.365294552446374,1.179229040411176,1.8581090079087992,2.138966805656639,2.372155611704073,1.3834235516585454,-0.561850418124615,-2.7753540657990627,-2.5111987275566903
1997-08-21,-1.874696505369295,1.249971484142811,-1.7300945487057329,1.7991180921352392,1.8151514828046573,1.0229959536024398,-0.3627438284345706,1.1835514886125842,1.842675650180372,2.1107857842352455,2.3394635259248404,1.3747797529026897,-0.5571318866613432,-2.72351941720413,-2.4698739553287634
1997-08-22,-0.33619912307523325,1.2428715406886328,-1.7181867370241128,1.783076517375656,1.7992660963720288,1.0149305663691108,-0.36019598813841375,1.1879030351221713,1.8276373174855953,2.0834350196335554,2.307877781212884,1.3662318516751277,-0.5525186213688305,-2.674072776616806,-2.4301680327366046
1997-08-25,-0.5668794209250406,1.2359347338385291,-1.7066077434862843,1.7673993649455941,1.7837525863113481,1.0069309766671648,-0.35765098167487464,1.1922840484902224,1.812983844864112,2.056871714669998,2.2773362214219146,1.3577778192079628,-0.5480231831000754,-2.626829769361423,-2.3919728991431013
1997-08-26,-1.0249548088068747,1.2291627572630404,-1.6953537168995836,1.752075515418297,1.7686000470670313,0.9989956474720172,-0.35510875935464176,1.1966949038599306,1.7987057978142182,2.031056099082967,2.2477815681609945,1.3494156858180588,-0.543660367130299,-2.581625405178633,-2.355190345705746
1997-08-27,-0.06310050735273144,1.222557644468614,-1.6844213968024495,1.737094496262497,1.7537982381051787,0.9911230786447515,-0.3525692716772661,1.2011359831204211,1.7847944419291804,2.005951159023826,2.219160942629615,1.341143538698272,-0.5394476853209234,-2.538311531118342,-2.3197308878189427
1997-08-28,-1.3915501069155016,1.216121791745822,-1.6738081149286124,1.7224464469869534,1.7393375499231143,0.9833118055124851,-0.3500324693262989,1.205607675064242,1.7712417161637204,1.9815223955454857,2.1914254437797984,1.332959519808633,-0.5354059777346032,-2.496754682142045,-2.285512791476919
1997-08-29,-0.6768357397444283,1.2098579840903123,-1.6635117999562807,1.7081220873546872,1.7252089732359848,0.9755603975050142,-0.3474983031644848,1.2101103755493783,1.7580402095395615,1.9577376084819316,2.16452977513812,1.3248618238625371,-0.5315601961114698,-2.456834258047079,-2.252461229317233
1997-09-02,3.310875375827054,1.2037694244756043,-1.6535309856819982,1.694112688430986,1.7114040711117113,0.9678674568437797,-0.3449667242289827,1.2146444876658513,1.7451831411333836,1.9345667026214493,2.138431913801221,1.3168486964028157,-0.5279404183238867,-2.418440969716203,-2.2205075464063286
1997-09-03,-0.12408472625531719,1.19785976691512,-1.643864822800714,1.680410046256579,1.69791495385417,0.9602316172811572,-0.3424376837266184,1.2192104219072981,1.7326643432231519,1.9119815135043445,2.1130928160972893,1.3089184319628273,-0.5245831774538762,-2.3814755088846713,-2.1895886192849847
1997-09-04,0.19746878633300088,1.1921331538240443,-1.6345130945203046,1.6670064579620374,1.6847342564608176,0.9526515428860477,-0.33991113302916753,1.2238085963474026,1.720478247499957,1.8899556505382735,2.088476155220676,1.3010693723084197,-0.5215332257928993,-2.345847404379503,-2.159646294584012
1997-09-05,-0.376648306296016,1.1865942582765916,-1.6254762362902377,1.653894700161796,1.6718551185039252,0.9451259268754248,-0.33738702366866813,1.2284394368216607,1.7086198742830874,1.8684643554315925,2.064548086827732,1.2932999047563163,-0.5188459099335615,-2.311474034695541,-2.1306268957885517
1997-09-08,0.10394503431370222,1.181248331854961,-1.6167553599828968,1.641068009486584,1.6592711663075221,0.9376534904872169,-0.33486530733276515,1.233103377114354,1.6970848247058172,1.8474843742071,2.0412770391530572,1.2856084605652924,-0.5165904201521685,-2.2782797722572514,-2.1024807885807437
